MAV0,RMS0,VAR0,SSC0,WL0,ZC0,WAMP0,AR1C0,AR2C0,AR3C0,AR4C0,DELTAX0,DELTAY0,DELTAZ0,MAV1,RMS1,VAR1,SSC1,WL1,ZC1,WAMP1,AR1C1,AR2C1,AR3C1,AR4C1,DELTAX1,DELTAY1,DELTAZ1,MOTION,FOLDNO
32.2912,41.7190,1740.4775,30.0000,9175.8748,16.6333,75.9519,1.6287,-1.3624,0.8211,-0.3517,0.2006,0.1652,0.4727,11.9695,15.4994,240.2299,34.0000,4612.4175,21.2425,66.3327,1.2723,-1.0528,0.6774,-0.3991,0.0456,-1.8074,2.2621,EF,3
30.7848,39.7225,1577.3071,30.0000,8771.8273,16.4329,74.3487,1.6284,-1.3373,0.7954,-0.3752,-0.0126,0.3068,0.3822,9.8871,12.5979,158.7047,35.2000,3886.9885,22.6453,61.7234,1.1203,-0.8119,0.5820,-0.3856,0.2438,-1.5884,1.8166,EF,3
30.8569,40.5970,1648.1189,32.4000,9385.0783,16.2325,73.3467,1.5532,-1.2761,0.7946,-0.4074,-0.3578,0.3602,-0.0201,10.3796,13.7046,187.8147,36.8000,4154.5638,22.4449,60.1202,1.1635,-0.9406,0.7005,-0.4324,0.6759,-0.6498,0.5877,EF,3
27.8032,36.5495,1335.8576,33.2000,8169.1042,16.4329,69.9399,1.4918,-1.1621,0.7441,-0.3852,-0.2502,0.3099,-0.0643,10.6136,14.1001,198.8070,32.8000,4074.0203,20.8417,57.5150,1.2738,-1.0923,0.7597,-0.4006,0.5954,-0.5800,0.2282,EF,3
24.9780,32.4529,1053.1750,34.2000,7452.8234,17.6353,69.9399,1.5237,-1.2327,0.8046,-0.3844,-0.3147,0.1349,-0.1489,9.3886,12.1276,147.0774,31.8000,3721.4770,22.0441,58.5170,1.2783,-1.0763,0.6861,-0.3366,0.7004,-0.1257,-0.1182,EF,3
24.9838,31.1792,972.1393,34.0000,7929.7925,18.4369,71.3427,1.5243,-1.2962,0.7887,-0.3452,-0.5642,-0.0145,-0.3084,9.6143,12.3738,153.1077,33.6000,3996.5255,22.8457,60.9218,1.2302,-1.0417,0.6599,-0.3538,0.9505,0.0353,-0.2055,EF,3
24.4584,30.3617,921.6861,31.8000,7811.3202,17.8357,71.3427,1.4736,-1.1909,0.6942,-0.3242,-0.5613,-0.0398,-0.1197,10.7291,13.4501,180.8868,33.2000,4115.4246,21.4429,60.9218,1.2201,-0.9927,0.6278,-0.3802,0.9227,0.0345,0.0360,EF,3
21.8296,27.9052,778.6525,31.0000,7170.1452,18.6373,70.5411,1.4001,-1.0809,0.6905,-0.3659,-0.3027,0.1686,-0.0559,10.0102,12.6143,159.1122,35.0000,3772.3521,21.2425,57.9158,1.2050,-0.9418,0.6480,-0.4264,0.7052,-0.2112,-0.0124,EF,3
23.1944,29.4502,867.2404,31.0000,7258.1048,19.0381,69.3387,1.4480,-1.1464,0.7466,-0.3823,-0.2874,0.2907,-0.1346,8.8412,11.4055,130.0784,36.4000,3613.9215,24.2485,55.5110,1.1217,-0.8385,0.5524,-0.3403,0.6171,-0.2807,-0.1537,EF,3
24.6827,32.8089,1076.3761,26.2000,5548.1408,12.4248,57.9158,1.7289,-1.4437,0.9805,-0.4393,-5.1108,-15.6511,26.5519,18.3399,28.8212,830.6593,32.4000,5943.2442,17.8357,66.7335,1.4893,-1.2758,0.6972,-0.3009,-1.7026,7.2824,29.8605,EF,4
