MAV0,RMS0,VAR0,SSC0,WL0,ZC0,WAMP0,AR1C0,AR2C0,AR3C0,AR4C0,DELTAX0,DELTAY0,DELTAZ0,MAV1,RMS1,VAR1,SSC1,WL1,ZC1,WAMP1,AR1C1,AR2C1,AR3C1,AR4C1,DELTAX1,DELTAY1,DELTAZ1,MOTION,FOLDNO
8.2449,11.2169,125.8196,26.0000,2803.1303,6.6132,15.4309,1.2063,-0.7172,0.4269,-0.2270,-1.7603,-3.4851,7.8875,5.5960,7.1050,50.4800,30.0000,2296.6012,10.4208,21.2425,0.9585,-0.6222,0.5575,-0.3279,-3.3640,2.7068,19.4640,EF,4
12.9163,16.1766,261.6330,27.4000,3693.4345,8.8176,25.0501,1.3253,-0.8640,0.5602,-0.3192,-2.3892,-11.8391,29.7280,6.4660,8.2650,68.3106,30.4000,2784.3427,16.6333,30.0601,1.0173,-0.8051,0.5988,-0.3503,-13.8303,3.5798,46.2611,EF,4
16.1396,20.1572,406.3035,27.0000,4480.2558,11.8236,35.0701,1.3949,-1.0030,0.6750,-0.3723,-0.1194,-21.7176,53.7709,8.7543,11.1381,124.0552,33.6000,3507.2070,18.0361,40.0802,1.0627,-0.7880,0.6197,-0.3664,-19.3066,7.5892,64.2870,EF,4
19.8745,25.2624,638.0081,24.8000,5690.8191,14.8297,47.0942,1.5202,-1.2169,0.7842,-0.3971,1.3067,-27.8166,61.7785,10.5971,13.7659,189.4926,35.0000,4095.5538,18.0361,46.8938,1.1156,-0.8017,0.5849,-0.3728,-19.5849,10.9075,62.5167,EF,4
23.0979,29.1020,846.8136,25.8000,6845.7965,16.0321,53.3066,1.5548,-1.2924,0.8022,-0.3866,1.8473,-26.2919,52.6760,10.7927,13.7619,189.3894,33.8000,4098.0423,18.8377,47.8958,1.1635,-0.8438,0.5365,-0.3398,-18.3750,9.2265,48.2514,EF,4
23.5716,30.0652,903.8801,28.6000,7060.9340,15.8317,55.3106,1.5227,-1.2357,0.7667,-0.3736,0.3728,-21.9745,40.4634,15.2632,20.3534,414.2374,33.6000,5259.4636,17.8357,56.1122,1.2863,-0.9554,0.5807,-0.3938,-11.6719,6.1206,36.3592,EF,4
30.8126,40.6967,1656.2128,28.2000,8772.6708,17.0341,62.9259,1.6570,-1.4036,0.8255,-0.3873,-0.8954,-15.2769,29.6739,21.7319,27.5774,760.5135,29.6000,6996.7531,18.2365,66.1323,1.4056,-1.0723,0.6070,-0.3376,-5.4328,2.2612,21.4989,EF,4
36.1030,47.1717,2225.0540,30.0000,10792.5710,20.2405,70.9419,1.7036,-1.5018,0.8723,-0.3799,0.1245,-5.5228,13.7438,27.9673,36.9991,1368.9074,28.4000,8058.9071,17.6353,71.3427,1.5518,-1.1792,0.6996,-0.3271,-2.1982,-0.2863,5.8598,EF,4
31.7089,41.2275,1699.5932,31.6000,9766.5646,18.8377,64.9299,1.6267,-1.4082,0.8407,-0.3528,-0.1849,0.4582,1.5953,24.2815,33.9178,1150.3767,32.0000,7603.1703,20.0401,70.1403,1.5724,-1.2939,0.8210,-0.3603,-0.4977,-0.1039,-0.0182,EF,4
26.1260,33.2601,1106.0752,30.8000,8307.6157,16.8337,58.9178,1.4861,-1.2020,0.6822,-0.2927,-0.3452,0.6375,-0.2149,16.3686,20.8965,436.6608,33.8000,6168.1258,22.2445,63.1263,1.3465,-1.1242,0.7160,-0.3509,-0.3855,0.7187,-0.3347,EF,4
23.5461,30.1380,908.2554,31.0000,7678.4442,16.0321,58.7174,1.4394,-1.1147,0.6139,-0.3000,0.0408,-0.2811,-0.0417,15.7585,20.2920,411.7643,34.4000,5709.7676,21.6433,63.1263,1.3079,-1.0113,0.6529,-0.3652,0.0111,0.0976,0.0085,EF,4
21.6995,27.5747,760.3291,33.8000,6837.3224,15.0301,52.9058,1.3808,-1.0281,0.6555,-0.3729,-0.0428,-0.1656,-0.1240,14.8814,19.8366,393.4630,35.4000,5712.3038,22.8457,63.1263,1.3127,-1.0684,0.6833,-0.3779,0.1838,-0.5790,-0.0465,EF,4
